epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3062.86,1.09258,2.00431,1.06474,0.61114,0.45838,0.54486,0.3551,1.15755,1.6502,1.10258,0.000414519,0.000414519,0.000414519
2,5784.47,1.29116,1.64185,1.18049,0.43045,0.41588,0.38379,0.22562,1.41366,1.73901,1.2784,0.000807675,0.000807675,0.000807675
3,8462.68,1.36935,1.71738,1.21801,0.42509,0.44136,0.37615,0.21695,1.48012,1.8945,1.31562,0.00117726,0.00117726,0.00117726
4,11135.4,1.33599,1.60995,1.20782,0.5355,0.5385,0.50724,0.30634,1.41615,1.68591,1.2675,0.00114393,0.00114393,0.00114393
5,13862.1,1.27878,1.52269,1.17204,0.58214,0.54498,0.53237,0.33569,1.32783,1.50937,1.23238,0.00110857,0.00110857,0.00110857
6,16543.5,1.2134,1.37946,1.14797,0.56387,0.52218,0.54002,0.34907,1.29422,1.48957,1.2192,0.00107321,0.00107321,0.00107321
7,19211.4,1.17008,1.28361,1.12158,0.61137,0.54334,0.5515,0.36231,1.18921,1.41517,1.11867,0.00103786,0.00103786,0.00103786
8,21906.3,1.1607,1.26554,1.10451,0.65129,0.627,0.65886,0.43746,1.19564,1.11589,1.1587,0.0010025,0.0010025,0.0010025
9,24596.2,1.08647,1.12503,1.06885,0.678,0.68518,0.7196,0.48391,1.12741,1.08765,1.10198,0.000967143,0.000967143,0.000967143
10,27299.5,1.07778,1.08706,1.06593,0.69817,0.59982,0.68084,0.46394,1.13204,1.14247,1.10494,0.000931786,0.000931786,0.000931786
11,30003.7,1.00721,1.02665,1.03786,0.67891,0.70305,0.74259,0.51791,1.05785,0.96626,1.0728,0.000896429,0.000896429,0.000896429
12,32677.9,0.99089,0.99019,1.03134,0.74596,0.69513,0.7576,0.53703,1.03862,0.93402,1.06667,0.000861071,0.000861071,0.000861071
13,35459.1,0.95483,0.92625,1.02045,0.69665,0.67625,0.74427,0.52319,1.05799,1.00437,1.07011,0.000825714,0.000825714,0.000825714
14,38154.8,0.95225,0.91183,1.01605,0.75073,0.72806,0.78026,0.56034,1.0062,0.83653,1.05717,0.000790357,0.000790357,0.000790357
15,41051.2,0.93537,0.8889,1.01094,0.73021,0.74874,0.78617,0.56525,0.99666,0.85533,1.05467,0.000755,0.000755,0.000755
16,44417.6,0.92097,0.85717,1.0018,0.77327,0.71049,0.77908,0.5623,0.98961,0.82757,1.0346,0.000719643,0.000719643,0.000719643
17,48015.2,0.89668,0.81964,0.98489,0.70593,0.754,0.76312,0.5492,0.98884,0.84642,1.04106,0.000684286,0.000684286,0.000684286
18,51387.8,0.88364,0.79312,0.97981,0.75171,0.72835,0.79116,0.58743,0.96092,0.82919,1.0224,0.000648929,0.000648929,0.000648929
19,54133.8,0.85281,0.76176,0.96239,0.82129,0.68822,0.81162,0.5985,0.94923,0.79636,1.02403,0.000613571,0.000613571,0.000613571
20,56921.7,0.82495,0.72618,0.96017,0.77661,0.79017,0.83024,0.619,0.9357,0.73354,1.01581,0.000578214,0.000578214,0.000578214
21,59675.4,0.83747,0.70586,0.95737,0.82494,0.74616,0.80875,0.60915,0.91588,0.73967,0.99726,0.000542857,0.000542857,0.000542857
22,62442.6,0.80223,0.68773,0.9487,0.86119,0.7463,0.84553,0.64126,0.89717,0.72282,0.99478,0.0005075,0.0005075,0.0005075
23,65175.3,0.79126,0.67037,0.94337,0.80303,0.78678,0.83971,0.63747,0.90417,0.71516,0.99162,0.000472143,0.000472143,0.000472143
24,67984,0.77276,0.63667,0.93875,0.82617,0.77407,0.84777,0.64139,0.8889,0.69444,1.0012,0.000436786,0.000436786,0.000436786
25,70835.1,0.75292,0.61196,0.92513,0.85985,0.76628,0.8579,0.64941,0.87078,0.69518,0.98494,0.000401429,0.000401429,0.000401429
26,73680.7,0.75252,0.5434,0.94598,0.82533,0.75735,0.82259,0.62471,0.89369,0.71272,0.99346,0.000366071,0.000366071,0.000366071
27,76430.8,0.74112,0.51821,0.93319,0.84582,0.76554,0.85542,0.652,0.8856,0.67431,0.98776,0.000330714,0.000330714,0.000330714
28,79249.5,0.71753,0.50146,0.93034,0.84874,0.75872,0.83104,0.63812,0.88401,0.69535,1.00824,0.000295357,0.000295357,0.000295357
29,82033.8,0.70608,0.47567,0.92803,0.84334,0.79342,0.8653,0.66938,0.86848,0.66604,0.98342,0.00026,0.00026,0.00026
30,84853.9,0.68597,0.45617,0.91311,0.8399,0.78005,0.85249,0.66748,0.84958,0.68492,0.98091,0.000224643,0.000224643,0.000224643
31,87662.2,0.67247,0.43964,0.90269,0.83348,0.78279,0.84821,0.66677,0.84654,0.66379,0.97994,0.000189286,0.000189286,0.000189286
32,90478.5,0.65361,0.4288,0.9014,0.86961,0.7962,0.868,0.68851,0.83881,0.6299,0.97791,0.000153929,0.000153929,0.000153929
33,93290.8,0.64402,0.41295,0.89804,0.85052,0.79617,0.86511,0.68943,0.81631,0.6243,0.96197,0.000118571,0.000118571,0.000118571
34,96033.2,0.62481,0.40051,0.88871,0.86282,0.8054,0.87559,0.69822,0.80196,0.60875,0.96085,8.32143e-05,8.32143e-05,8.32143e-05
35,98753.8,0.61042,0.39151,0.88346,0.88624,0.80262,0.8813,0.70373,0.80322,0.59826,0.95843,4.78571e-05,4.78571e-05,4.78571e-05
